@relation 'SAMPLE A-weka.filters.unsupervised.attribute.StringToNominal-Rlast-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1'

@attribute 'Project Scope Complexity' {Low,Medium,'High '}
@attribute 'Technical Feasibility' {Challenging,Feasible,Unfeasible}
@attribute 'Financial Feasibility' {Feasible,Unfeasible,Challenging}
@attribute 'Contract Terms' {Favorable,Neutral,Unfavorable}
@attribute 'Project Timeline Months' {'24 - 36 Months','12 - 24 Months','6 - 12 Months','Above  48 Months','36 - 48 Months','Less than 6  Months'}
@attribute 'Relevant Experience' {Yes,No}
@attribute 'Internal Resources Available' {Yes,No}
@attribute 'Regulatory Issues' {Minor,None,Major}
@attribute 'Risk Level' {Low,Medium,High}
@attribute 'Market Demand' {High,Medium,Low}
@attribute 'Strategic Alignment' {High,Medium,Low}
@attribute 'Long Term Impact' {High,Low,Medium}
@attribute 'Initial Go NoGo Decision' {Go,NoGo}

@data
Low,Challenging,Feasible,Favorable,'24 - 36 Months',Yes,Yes,Minor,Low,High,High,High,Go
Low,Challenging,Feasible,Favorable,'12 - 24 Months',Yes,Yes,Minor,Medium,High,Medium,Low,Go
Low,Feasible,Feasible,Favorable,'6 - 12 Months',Yes,Yes,Minor,Medium,High,High,High,Go
Low,Feasible,Feasible,Favorable,'12 - 24 Months',Yes,Yes,None,Medium,High,High,Medium,Go
Low,Feasible,Feasible,Favorable,'6 - 12 Months',Yes,Yes,Minor,Medium,High,High,Medium,Go
Low,Feasible,Feasible,Favorable,'24 - 36 Months',Yes,Yes,Minor,Medium,High,Medium,High,Go
Low,Feasible,Feasible,Favorable,'Above  48 Months',Yes,Yes,Minor,Medium,High,High,High,Go
Low,Feasible,Unfeasible,Favorable,'36 - 48 Months',No,Yes,Minor,Medium,High,Medium,High,Go
Low,Challenging,Feasible,Favorable,'36 - 48 Months',Yes,Yes,Minor,Medium,High,High,Medium,Go
Low,Challenging,Feasible,Neutral,'36 - 48 Months',Yes,Yes,Major,Medium,High,High,Medium,Go
Medium,Challenging,Feasible,Neutral,'6 - 12 Months',Yes,Yes,None,Medium,High,Low,Medium,Go
Medium,Challenging,Feasible,Neutral,'36 - 48 Months',Yes,Yes,None,Medium,High,High,Medium,Go
Medium,Feasible,Unfeasible,Favorable,'36 - 48 Months',No,Yes,Minor,Medium,High,High,Medium,Go
Medium,Challenging,Unfeasible,Favorable,'36 - 48 Months',No,Yes,None,Medium,High,Medium,High,Go
'High ',Feasible,Feasible,Neutral,'36 - 48 Months',No,Yes,None,Low,High,High,High,Go
Medium,Challenging,Feasible,Neutral,'36 - 48 Months',Yes,Yes,None,Medium,High,Low,High,Go
Medium,Challenging,Feasible,Neutral,'12 - 24 Months',No,Yes,None,Low,High,High,Medium,Go
