Project Scope Complexity,Technical Feasibility,Financial Feasibility,Contract Terms,Project Timeline Months,Relevant Experience,Internal Resources Available,Regulatory Issues,Risk Level,Market Demand,Strategic Alignment,Long Term Impact,Initial Go NoGo Decision
Low,Challenging,Feasible,Favorable,24 - 36 Months,Yes,Yes,Minor,Low,High,High,High,Go
Low,Challenging,Feasible,Favorable,12 - 24 Months,Yes,Yes,Minor,Medium,High,Medium,Low,Go
Low,Feasible,Feasible,Favorable,6 - 12 Months,Yes,Yes,Minor,Medium,High,High,High,Go
Low,Feasible,Feasible,Favorable,12 - 24 Months,Yes,Yes,None,Medium,High,High,Medium,Go
Low,Feasible,Feasible,Favorable,6 - 12 Months,Yes,Yes,Minor,Medium,High,High,Medium,Go
Low,Feasible,Feasible,Favorable,24 - 36 Months,Yes,Yes,Minor,Medium,High,Medium,High,Go
Low,Feasible,Feasible,Favorable,Above  48 Months,Yes,Yes,Minor,Medium,High,High,High,Go
Low,Feasible,Unfeasible,Favorable,36 - 48 Months,No,Yes,Minor,Medium,High,Medium,High,Go
Low,Challenging,Feasible,Favorable,36 - 48 Months,Yes,Yes,Minor,Medium,High,High,Medium,Go
Low,Challenging,Feasible,Neutral,36 - 48 Months,Yes,Yes,Major,Medium,High,High,Medium,Go
Medium,Challenging,Feasible,Neutral,6 - 12 Months,Yes,Yes,None,Medium,High,Low,Medium,Go
Medium,Challenging,Feasible,Neutral,36 - 48 Months,Yes,Yes,None,Medium,High,High,Medium,Go
Medium,Feasible,Unfeasible,Favorable,36 - 48 Months,No,Yes,Minor,Medium,High,High,Medium,Go
Medium,Challenging,Unfeasible,Favorable,36 - 48 Months,No,Yes,None,Medium,High,Medium,High,Go
High ,Feasible,Feasible,Neutral,36 - 48 Months,No,Yes,None,Low,High,High,High,Go
Medium,Challenging,Feasible,Neutral,36 - 48 Months,Yes,Yes,None,Medium,High,Low,High,Go
Medium,Challenging,Feasible,Neutral,12 - 24 Months,No,Yes,None,Low,High,High,Medium,Go
High ,Feasible,Feasible,Neutral,12 - 24 Months,Yes,Yes,Minor,Medium,High,High,Low,Go
Medium,Feasible,Feasible,Neutral,24 - 36 Months,Yes,Yes,None,Low,High,High,Medium,Go
High ,Challenging,Feasible,Neutral,Above  48 Months,Yes,Yes,None,Medium,High,High,High,Go
Medium,Feasible,Feasible,Neutral,Above  48 Months,No,No,Minor,Medium,High,Medium,Medium,Go
Medium,Feasible,Feasible,Neutral,24 - 36 Months,No,Yes,Minor,Medium,High,Medium,Medium,Go
Medium,Feasible,Feasible,Neutral,Above  48 Months,Yes,Yes,None,Medium,High,Medium,Medium,Go
Medium,Feasible,Challenging,Favorable,Above  48 Months,No,Yes,Minor,Medium,High,Medium,High,Go
Low,Feasible,Feasible,Favorable,12 - 24 Months,Yes,Yes,None,Medium,High,High,Medium,Go
