Project Location,Technical Feasibility,Financial Feasibility,Contract Terms,Project Budget,Relevant Experience,Internal Resources Available,Regulatory Issues,Risk Level,Market Demand,Client Reliability,Strategic Alignment,Initial Go NoGo Decision
Riyadh,Challenging,Feasible,Favorable,50 - 100 Million,Yes,Yes,Minor,Low,High,High,High,Go
Jeddah,Challenging,Feasible,Favorable,10 - 50 Million,Yes,Yes,Minor,Medium,High,Low,Medium,Go
Riyadh,Feasible,Feasible,Favorable,10 - 50 Million,Yes,Yes,Minor,Medium,High,High,High,Go
Tabuk & Khamis Mushait,Feasible,Feasible,Favorable,10 - 50 Million,Yes,Yes,None,Medium,High,High,High,Go
Riyadh,Feasible,Feasible,Favorable,10 - 50 Million,Yes,Yes,Minor,Medium,High,High,High,Go
Hail,Feasible,Feasible,Favorable,50 - 100 Million,Yes,Yes,Minor,Medium,High,High,Medium,Go
Riyadh,Feasible,Feasible,Favorable,150 - 200 Million,Yes,Yes,Minor,Medium,High,High,High,Go
Al Qassim,Feasible,Unfeasible,Favorable,200 - 300 Million,No,Yes,Minor,Medium,High,High,Medium,Go
Riyadh,Challenging,Feasible,Favorable,100 - 150 Million,Yes,Yes,Minor,Medium,High,Medium,High,Go
Riyadh,Challenging,Feasible,Neutral,50 - 100 Million,Yes,Yes,Major,Medium,High,Medium,High,Go
Riyadh,Challenging,Feasible,Neutral,50 - 100 Million,Yes,Yes,None,Medium,High,High,Low,Go
Al Qassim,Challenging,Feasible,Neutral,50 - 100 Million,Yes,Yes,None,Medium,High,Medium,High,Go
Al Qassim,Feasible,Unfeasible,Favorable,50 - 100 Million,No,Yes,Minor,Medium,High,Low,High,Go
Al Qassim,Challenging,Unfeasible,Favorable,100 - 150 Million,No,Yes,None,Medium,High,High,Medium,Go
Al Qassim,Feasible,Feasible,Neutral,50 - 100 Million,No,Yes,None,Low,High,High,High,Go
Al Qassim,Challenging,Feasible,Neutral,50 - 100 Million,Yes,Yes,None,Medium,High,Medium,Low,Go
Riyadh,Challenging,Feasible,Neutral,10 - 50 Million,No,Yes,None,Low,High,High,High,Go
Riyadh,Feasible,Feasible,Neutral,50 - 100 Million,Yes,Yes,Minor,Medium,High,Medium,High,Go
Riyadh,Feasible,Feasible,Neutral,50 - 100 Million,Yes,Yes,None,Low,High,High,High,Go
Riyadh,Challenging,Feasible,Neutral,10 - 50 Million,Yes,Yes,None,Medium,High,Low,High,Go
Abha,Feasible,Feasible,Neutral,200 - 300 Million,No,No,Minor,Medium,High,Medium,Medium,Go
Al Madinah,Feasible,Feasible,Neutral,50 - 100 Million,No,Yes,Minor,Medium,High,High,Medium,Go
Najran,Feasible,Feasible,Neutral,200 - 300 Million,Yes,Yes,None,Medium,High,Medium,Medium,Go
Riyadh,Feasible,Challenging,Favorable,800 - 900 Million,No,Yes,Minor,Medium,High,High,Medium,Go
Riyadh,Feasible,Feasible,Favorable,10 - 50 Million,Yes,Yes,None,Medium,High,High,High,Go
Riyadh,Feasible,Feasible,Favorable,50 - 100 Million,Yes,No,Minor,Medium,High,High,High,Go
Riyadh,Feasible,Feasible,Favorable,300 - 400 Million,Yes,Yes,Minor,Medium,High,Medium,Medium,Go
Jeddah,Challenging,Feasible,Favorable,200 - 300 Million,Yes,Yes,Major,Low,High,Low,Medium,Go
Abha,Challenging,Feasible,Favorable,50 - 100 Million,Yes,Yes,Major,Low,High,Medium,Medium,Go
Al Qassim,Challenging,Challenging,Favorable,150 - 200 Million,Yes,Yes,None,Low,High,High,Medium,Go
Riyadh,Challenging,Feasible,Favorable,150 - 200 Million,Yes,Yes,Minor,Medium,High,Medium,Medium,Go
Jeddah,Challenging,Feasible,Favorable,200 - 300 Million,Yes,Yes,None,Medium,High,High,Medium,Go
Riyadh,Feasible,Feasible,Favorable,200 - 300 Million,Yes,Yes,Minor,Low,High,High,Medium,Go
Riyadh,Challenging,Challenging,Favorable,50 - 100 Million,No,Yes,None,Medium,High,Medium,Medium,Go
Riyadh,Challenging,Feasible,Favorable,100 - 150 Million,Yes,Yes,None,Medium,High,Medium,Medium,Go
Eastern Province,Feasible,Feasible,Favorable,50 - 100 Million,Yes,Yes,Minor,Medium,High,High,High,Go
