@relation 'SAMPLE C-weka.filters.unsupervised.attribute.StringToNominal-Rlast-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1'

@attribute 'Project Scope Complexity' {Low,Medium,'High '}
@attribute 'Technical Feasibility' {Challenging,Feasible,Unfeasible}
@attribute 'Financial Feasibility' {Feasible,Unfeasible,Challenging}
@attribute 'Contract Terms' {Favorable,Neutral,Unfavorable}
@attribute 'Relevant Experience' {Yes,No}
@attribute 'Internal Resources Available' {Yes,No}
@attribute 'Partner or Joint Venture' {No,Yes}
@attribute 'Regulatory Issues' {Minor,None,Major}
@attribute 'Risk Level' {Low,Medium,High}
@attribute 'Market Demand' {High,Medium,Low}
@attribute 'Client Reliability' {High,Low,Medium}
@attribute 'Strategic Alignment' {High,Medium,Low}
@attribute 'Initial Go NoGo Decision' {Go,NoGo}

@data
Low,Challenging,Feasible,Favorable,Yes,Yes,No,Minor,Low,High,High,High,Go
Low,Challenging,Feasible,Favorable,Yes,Yes,No,Minor,Medium,High,Low,Medium,Go
Low,Feasible,Feasible,Favorable,Yes,Yes,Yes,Minor,Medium,High,High,High,Go
Low,Feasible,Feasible,Favorable,Yes,Yes,Yes,None,Medium,High,High,High,Go
Low,Feasible,Feasible,Favorable,Yes,Yes,No,Minor,Medium,High,High,High,Go
Low,Feasible,Feasible,Favorable,Yes,Yes,Yes,Minor,Medium,High,High,Medium,Go
Low,Feasible,Feasible,Favorable,Yes,Yes,No,Minor,Medium,High,High,High,Go
Low,Feasible,Unfeasible,Favorable,No,Yes,No,Minor,Medium,High,High,Medium,Go
Low,Challenging,Feasible,Favorable,Yes,Yes,No,Minor,Medium,High,Medium,High,Go
Low,Challenging,Feasible,Neutral,Yes,Yes,No,Major,Medium,High,Medium,High,Go
Medium,Challenging,Feasible,Neutral,Yes,Yes,No,None,Medium,High,High,Low,Go
Medium,Challenging,Feasible,Neutral,Yes,Yes,No,None,Medium,High,Medium,High,Go
Medium,Feasible,Unfeasible,Favorable,No,Yes,Yes,Minor,Medium,High,Low,High,Go
Medium,Challenging,Unfeasible,Favorable,No,Yes,Yes,None,Medium,High,High,Medium,Go
'High ',Feasible,Feasible,Neutral,No,Yes,Yes,None,Low,High,High,High,Go
Medium,Challenging,Feasible,Neutral,Yes,Yes,No,None,Medium,High,Medium,Low,Go
Medium,Challenging,Feasible,Neutral,No,Yes,No,None,Low,High,High,High,Go
'High ',Feasible,Feasible,Neutral,Yes,Yes,No,Minor,Medium,High,Medium,High,Go
Medium,Feasible,Feasible,Neutral,Yes,Yes,No,None,Low,High,High,High,Go
'High ',Challenging,Feasible,Neutral,Yes,Yes,No,None,Medium,High,Low,High,Go
Medium,Feasible,Feasible,Neutral,No,No,Yes,Minor,Medium,High,Medium,Medium,Go
Medium,Feasible,Feasible,Neutral,No,Yes,Yes,Minor,Medium,High,High,Medium,Go
Medium,Feasible,Feasible,Neutral,Yes,Yes,No,None,Medium,High,Medium,Medium,Go
Medium,Feasible,Challenging,Favorable,No,Yes,Yes,Minor,Medium,High,High,Medium,Go
Low,Feasible,Feasible,Favorable,Yes,Yes,No,None,Medium,High,High,High,Go
Low,Feasible,Feasible,Favorable,Yes,No,No,Minor,Medium,High,High,High,Go
Low,Feasible,Feasible,Favorable,Yes,Yes,No,Minor,Medium,High,Medium,Medium,Go
Low,Challenging,Feasible,Favorable,Yes,Yes,No,Major,Low,High,Low,Medium,Go
Low,Challenging,Feasible,Favorable,Yes,Yes,No,Major,Low,High,Medium,Medium,Go
Low,Challenging,Challenging,Favorable,Yes,Yes,No,None,Low,High,High,Medium,Go
Medium,Challenging,Feasible,Favorable,Yes,Yes,No,Minor,Medium,High,Medium,Medium,Go
Medium,Challenging,Feasible,Favorable,Yes,Yes,No,None,Medium,High,High,Medium,Go
Low,Feasible,Feasible,Favorable,Yes,Yes,No,Minor,Low,High,High,Medium,Go
Medium,Challenging,Challenging,Favorable,No,Yes,No,None,Medium,High,Medium,Medium,Go
Medium,Challenging,Feasible,Favorable,Yes,Yes,No,None,Medium,High,Medium,Medium,Go
Medium,Feasible,Feasible,Favorable,Yes,Yes,No,Minor,Medium,High,High,High,Go
Medium,Feasible,Feasible,Favorable,Yes,Yes,No,Minor,Medium,High,Medium,Medium,Go
Medium,Feasible,Feasible,Favorable,No,Yes,No,Major,Medium,High,High,High,Go
'High ',Feasible,Feasible,Favorable,No,Yes,Yes,Minor,Medium,High,High,High,Go
'High ',Feasible,Feasible,Favorable,Yes,Yes,No,None,Medium,High,High,Medium,Go
Low,Challenging,Feasible,Favorable,Yes,Yes,Yes,None,Low,High,Medium,High,Go
Low,Challenging,Feasible,Favorable,Yes,Yes,Yes,Major,Low,High,Low,High,Go
Low,Challenging,Feasible,Favorable,Yes,Yes,Yes,None,Medium,High,High,Medium,Go
Low,Feasible,Feasible,Favorable,Yes,Yes,No,Minor,Medium,High,High,High,Go
Low,Feasible,Feasible,Favorable,Yes,Yes,Yes,None,Medium,High,High,High,Go
